rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
20,207118372,Mamaboy123,53.47M,380.08M,34.76M,6.12M,29.94M,1.68M,2.36M
21,207317874,24 X҉ MONGOL,49.64M,259.30M,32.39M,3.54M,21.57M,1.77M,3.13M
22,204674520,VietSharks,49.02M,427.46M,66.16M,14.45M,26.03M,7.25M,1.93M
23,203693698,ᴰʷ Vino limo,46.28M,438.56M,58.05M,11.89M,31.31M,4.99M,3.51M
24,209645960,ZARIA,44.58M,217.72M,33.26M,5.37M,13.87M,3.33M,1.78M
25,209530219,24 X҉ SóiGià,43.06M,332.08M,38.27M,4.67M,24.13M,3.25M,3.47M
26,209616823,ᴹᴰXrUsT,42.05M,159.83M,30.99M,1.71M,9.95M,2.93M,3.09M
27,209817323,ᴰᴷZORO GPS,41.10M,157.01M,35.68M,6.81M,8.57M,2.30M,1.23M
28,209534514,24 X҉ Ney,39.20M,309.70M,32.42M,4.59M,22.20M,2.62M,2.29M
29,208718417,TheinOo,38.85M,116.96M,33.58M,3.94M,6.94M,1.91M,1.55M
30,209569488,24 X҉ BaByHulk,38.55M,217.77M,53.66M,5.20M,13.39M,1.74M,2.58M
31,207279889,24 X҉ DUMBLDOR,37.85M,183.33M,44.39M,2.94M,14.13M,814.27K,2.85M
32,210431963,24 X҉ vSharks,37.56M,204.24M,45.79M,7.48M,18.02M,594.32K,1.81M
33,210346486,todays 12,37.05M,141.19M,62.19M,14.61M,7.37M,3.35M,1.77M
34,210262314,ᴮᴺGLE400,35.36M,95.15M,62.72M,13.50M,4.56M,2.38M,1.06M
35,209875786,24 X҉  Malrin,32.02M,142.55M,40.33M,6.29M,9.41M,2.12M,770.58K
36,209527597,24 X҉ Klee,31.73M,192.40M,33.36M,6.54M,11.77M,1.98M,2.20M
37,207317722,iryshka,31.72M,273.08M,42.83M,5.80M,20.40M,2.65M,2.24M
38,207576224,24 X҉ Viona,31.66M,163.99M,41.70M,5.07M,10.55M,2.65M,2.81M
39,208559123,Stflrs Mom,30.70M,499.14M,57.26M,9.02M,39.14M,4.66M,1.90M
40,207108248,HOY PINOY AKOヮ,30.36M,132.72M,25.77M,2.05M,8.87M,2.09M,2.98M
41,210482880,24 X҉  Slayer,29.94M,119.38M,35.09M,4.06M,5.90M,2.75M,1.50M
42,211329312,石木,29.49M,57.80M,28.83M,3.98M,2.42M,1.64M,1.76M
43,209779749,ᴰᴷMajima,29.36M,79.39M,27.29M,2.08M,4.68M,1.45M,1.98M
44,209324904,TaonguoiVietNam,25.83M,56.63M,46.32M,3.82M,2.69M,1.15M,2.81M
45,207774760,KhôiLangThang,25.62M,189.78M,31.17M,1.71M,14.14M,1.01M,3.58M
46,209435533,hiền hihi,25.60M,176.09M,37.40M,6.45M,10.32M,3.22M,3.14M
47,210399713,Izzy the Great,25.12M,133.04M,38.77M,3.75M,8.86M,593.93K,1.48M
48,210049658,24 X҉ Lionhart,24.98M,157.10M,45.57M,4.01M,10.27M,2.45M,2.94M
49,209853749,24TùgGấu,22.12M,124.72M,32.02M,2.36M,9.68M,949.95K,2.94M
50,208145473,Vicentuss,21.29M,69.95M,32.51M,4.46M,5.33M,362.36K,1.47M
51,210371729,24 X҉ xANGELx,21.23M,187.07M,28.37M,3.30M,14.38M,797.02K,2.15M
52,210142805,Olly25,21.11M,39.73M,26.57M,1.68M,2.81M,374.29K,2.27M
53,210376336,24 X҉ Serelis,21.06M,110.37M,26.50M,3.54M,7.93M,1.47M,1.20M
54,210417562,24 X҉   Redbud,20.99M,74.83M,35.41M,6.78M,6.54M,315.74K,2.16M
55,218982356,Lamnesik,20.09M,41.74M,31.11M,3.85M,2.99M,572.48K,916.36K
56,208195504,ᴿᵂ Zytue,18.89M,28.58M,30.14M,2.72M,1.92M,313.68K,1.95M
57,205078912,24 X҉ ACE,18.83M,211.84M,46.78M,4.48M,14.76M,1.60M,4.36M
58,207034573,24 X҉ HànLão,18.77M,993.68M,64.14M,13.33M,73.92M,11.90M,4.41M
59,209838770,24 X҉  ReDemon,18.71M,36.19M,40.76M,3.49M,1.98M,697.29K,1.95M
60,203945925,24 X҉ FramAce,18.36M,246.21M,39.70M,5.21M,17.18M,2.49M,3.82M
61,208680184,Kutilkatak,18.30M,30.99M,27.18M,3.79M,1.86M,609.77K,1.55M
62,210531865,Cyntra City,16.86M,9.99M,26.05M,2.57M,474.81K,173.10K,2.15M
