Metric,Value
TOTAL PLAYERS,289
DKP < 1M,210

Rank,Governor ID,Name,End Power,End Troop Power,T4N,T4 Kills,T5 Kills,Deads,KP,DKP,Active
46,209779749,ᴰᴷMajima,28.55M,3.34M,835.98K,219.53K,100.78K,183.78K,4.21M,4.45M,True
47,209819561,MEDS21,30.77M,3.59M,896.93K,73.40K,83.06K,269.42K,2.40M,4.31M,True
48,209600107,LeONn,38.45M,4.13M,1.03M,183.41K,203.65K,0,5.91M,3.97M,True
49,203945925,24 X҉ FramAce,39.71M,5.21M,1.30M,184.18K,123.34K,115.75K,4.31M,3.93M,True
50,207270931,guardboy,35.31M,4.71M,1.18M,121.19K,216.64K,0,5.54M,3.86M,True
51,210412615,methusala,31.78M,5.29M,1.32M,101.77K,112.91K,127.23K,3.28M,3.47M,True
52,207317874,24 X҉ MONGOL,32.12M,3.28M,819.54K,146.52K,178.21K,0,5.03M,3.41M,True
53,209320692,ᴱᶻLelya Fm,29.30M,0,0,17.89K,20.99K,291.95K,598.78K,3.32M,True
54,207034573,24 X҉ HànLão,63.11M,12.30M,3.07M,183.37K,84.45K,105.14K,3.53M,3.24M,True
55,209324904,TaonguoiVietNam,44.73M,2.24M,559.06K,105.75K,164.71K,19.18K,4.35M,3.19M,True
56,210445136,Xàmlông,38.51M,5.66M,1.42M,11.81K,35.92K,257.94K,836.50K,3.18M,True
57,207012251,MeowMeowMeowww,38.09M,3.21M,803.19K,69.94K,41.62K,203.59K,1.53M,3.01M,True
58,210166542,Abcdefin,30.92M,4.99M,1.25M,548.32K,0,0,5.48M,2.74M,True
59,210394588,24 X҉ Tường,22.30M,15.65K,3.91K,23.45K,14.94K,225.11K,533.20K,2.59M,True
60,209875786,24 X҉  Malrin,40.51M,6.47M,1.62M,103.27K,86.16K,58.69K,2.76M,2.40M,True
61,209534514,24 X҉ Ney,33.00M,5.17M,1.29M,141.80K,109.48K,0,3.61M,2.35M,True
62,207317722,iryshka,42.84M,5.81M,1.45M,52.02K,137.38K,0,3.27M,2.32M,True
63,209788785,24 X҉ NVTboi,35.37M,2.55M,638.14K,80.52K,81.15K,62.57K,2.45M,2.25M,True
64,209616823,ᴹᴰXrUsT,31.37M,1.97M,493.19K,56.61K,61.19K,94.84K,1.79M,2.15M,True
65,207933613,24 X҉ Sawakita,29.82M,6.52M,1.63M,61.81K,76.29K,64.17K,2.14M,2.10M,True
66,208684612,ᶲJW4101,27.56M,2.66M,664.59K,19.37K,90.70K,47.39K,2.01M,1.93M,True
67,208559123,Stflrs Mom,57.44M,9.19M,2.30M,44.63K,25.60K,114.26K,958.27K,1.75M,True
68,207566610,LuffyOldfarm,31.81M,2.90M,725.59K,48.49K,99.62K,0,2.48M,1.74M,True
69,209345131,ᴰᴷCamaron,28.31M,2.49M,623.23K,22.97K,15.72K,131.70K,547.21K,1.67M,True
70,209838770,24 X҉  ReDemon,40.33M,3.06M,766.04K,915,56.11K,82.07K,1.13M,1.67M,True
71,210391706,ᴶᶠ RynaMay,20.31M,2.46M,614.62K,25.38K,0,148.89K,253.77K,1.62M,True
72,209072763,ᶻᵒDungori,26.02M,1.95M,487.70K,92.52K,28.77K,59.28K,1.52M,1.49M,True
73,208680184,Kutilkatak,27.50M,4.11M,1.03M,45.42K,47.84K,51.25K,1.41M,1.46M,True
74,207032911,Nemezis1,42.35M,4.96M,1.24M,10.65K,14.92K,114.52K,404.87K,1.42M,True
75,210301764,TVRI mongos,19.48M,1.41M,352.92K,72.26K,21.15K,59.23K,1.17M,1.27M,True
76,207774760,KhôiLangThang,31.49M,2.03M,507.73K,20.70K,77.42K,0,1.76M,1.26M,True
77,209043926,TOMBOYY,36.08M,5.55M,1.39M,39.38K,64.64K,8.88K,1.69M,1.26M,True
78,206969476,24 X҉ Xatarê,36.15M,5.13M,1.28M,15.18K,17.12K,90.57K,494.28K,1.24M,True
79,211294741,Lionfarm,23.60M,1.93M,482.82K,62.23K,19.12K,56.30K,1.01M,1.16M,True
80,210373350,ero3,30.01M,5.88M,1.47M,34.85K,52.70K,0,1.40M,964.72K,False
81,210401075,VoidAlbion,20.71M,166.22K,41.55K,1.33K,10.14K,77.13K,216.21K,930.12K,False
82,208973298,24 X҉ AndiUmar,31.36M,4.53M,1.13M,44.25K,47.11K,0,1.38M,927.85K,False
83,210293112,24 X҉ Prince,42.36M,4.20M,1.05M,0,3.39K,83.38K,67.86K,884.65K,False
84,210399713,Izzy the Great,38.79M,3.77M,942.33K,30.38K,13.11K,47.69K,565.98K,825.47K,False
85,207428704,ᶫʳБьёрн,31.69M,3.72M,930.97K,96.47K,3.45K,23.85K,1.04M,772.61K,False
86,210417562,24 X҉   Redbud,35.44M,6.78M,1.70M,141.73K,0,0,1.42M,708.63K,False
